コード,銘柄名,業種名,次回権利付き確定日,前日終値,予想配当利回り
2503,"Kirin Holdings Company, Limited",Consumer Defensive,1703721600,2093.0,0.032899998
2531,Takara Holdings Inc.,Consumer Defensive,1711584000,1216.5,0.0221
2540,"Yomeishu Seizo Co.,Ltd.",Consumer Defensive,1711584000,1841.0,0.024300002
2670,"ABC-Mart,Inc.",Consumer Cyclical,1709078400,2374.0,0.024600001
2676,"Takachiho Koheki Co.,Ltd.",Industrials,1711584000,3170.0,0.0436
2871,Nichirei Corporation,Consumer Defensive,1711584000,3154.0,0.0235
3002,Gunze Limited,Consumer Cyclical,1711584000,4460.0,0.0337
3003,"Hulic Co., Ltd.",Real Estate,1703721600,1328.0,0.0348
3105,Nisshinbo Holdings Inc.,Industrials,1703721600,1087.0,0.0334
3106,Kurabo Industries Ltd.,Industrials,1711584000,2278.0,0.031
3109,Shikibo Ltd.,Consumer Cyclical,1711584000,1073.0,0.093
3167,TOKAI Holdings Corporation,Industrials,1711584000,943.0,0.033800002
3183,"WIN-Partners Co., Ltd.",Healthcare,1711584000,1087.0,0.0924
3244,"Samty Co., Ltd.",Real Estate,1701216000,2425.0,0.0373
3289,Tokyu Fudosan Holdings Corporation,Real Estate,1711584000,884.0,0.0326
3291,"Iida Group Holdings Co., Ltd.",Consumer Cyclical,1711584000,2307.5,0.0398
3407,Asahi Kasei Corporation,Basic Materials,1711584000,913.8,0.0394
3465,"Ki-Star Real Estate Co.,Ltd",Real Estate,1711584000,4315.0,0.0559
3489,"FaithNetwork Co.,Ltd",Real Estate,1711584000,1307.0,0.1105
3738,T-Gaia Corporation,Communication Services,1711584000,1741.0,0.0431
3941,"Rengo Co., Ltd.",Consumer Cyclical,1711584000,986.1,0.024300002
4008,"Sumitomo Seika Chemicals Company, Limited.",Basic Materials,1711584000,4430.0,0.045100003
4021,Nissan Chemical Corporation,Basic Materials,1711584000,6183.0,0.0304
4041,"Nippon Soda Co., Ltd.",Basic Materials,1711584000,5260.0,0.0456
4042,Tosoh Corporation,Basic Materials,1711584000,1818.5,0.044
4044,"Central Glass Co., Ltd.",Basic Materials,1711584000,2859.0,0.0402
4063,"Shin-Etsu Chemical Co., Ltd.",Basic Materials,1711584000,4313.0,0.0232
4118,Kaneka Corporation,Basic Materials,1711584000,3718.0,0.0296
4151,"Kyowa Kirin Co., Ltd.",Healthcare,1703721600,2350.0,0.023
4182,"Mitsubishi Gas Chemical Company, Inc.",Basic Materials,1711584000,1997.0,0.0401
4189,"KH Neochem Co., Ltd.",Basic Materials,1703721600,2225.0,0.0404
4204,"Sekisui Chemical Co., Ltd.",Industrials,1711584000,2014.5,0.0328
4208,UBE Corporation,Basic Materials,1711584000,2281.0,0.0438
4272,"Nippon Kayaku Co., Ltd.",Basic Materials,1711584000,1255.0,0.0359
4410,"Harima Chemicals Group, Inc.",Basic Materials,1711584000,795.0,0.052800003
4452,Kao Corporation,Consumer Defensive,1703721600,5499.0,0.0273
4502,Takeda Pharmaceutical Company Limited,Healthcare,1711584000,4352.0,0.0432
4503,Astellas Pharma Inc.,Healthcare,1711584000,1954.5,0.0358
4507,"Shionogi & Co., Ltd.",Healthcare,1711584000,6879.0,0.0218
4540,Tsumura & Co.,Healthcare,1711584000,2622.5,0.024400001
4551,"Torii Pharmaceutical Co., Ltd.",Healthcare,1703721600,3700.0,0.027
4665,"Duskin Co., Ltd.",Consumer Cyclical,1711584000,3242.0,0.0241
4968,"Arakawa Chemical Industries, Ltd.",Basic Materials,1711584000,1003.0,0.0479
5020,"ENEOS Holdings, Inc.",Energy,1711584000,551.7,0.0399
5021,"Cosmo Energy Holdings Co., Ltd.",Energy,1711584000,5512.0,0.0454
5101,"The Yokohama Rubber Company, Limited",Consumer Cyclical,1703721600,2797.5,0.024300002
5122,"Okamoto Industries, Inc.",Basic Materials,1711584000,5140.0,0.0214
5185,"Fukoku Co.,Ltd.",Consumer Cyclical,1711584000,1465.0,0.0375
5192,Mitsuboshi Belting Ltd.,Industrials,1711584000,4395.0,0.056900002
5201,AGC Inc.,Basic Materials,1703721600,5074.0,0.0414
5208,"Arisawa Mfg. Co., Ltd.",Technology,1711584000,1067.0,0.0469
5332,Toto Ltd.,Industrials,1711584000,3683.0,0.0272
5334,"Niterra Co., Ltd.",Consumer Cyclical,1711584000,3195.0,0.0422
5706,"Mitsui Mining & Smelting Co., Ltd.",Industrials,1711584000,3773.0,0.037100002
5938,LIXIL Corporation,Industrials,1711584000,1656.5,0.0543
5947,Rinnai Corporation,Consumer Cyclical,1711584000,2682.5,0.0224
5985,Suncall Corporation,Consumer Cyclical,1711584000,491.0,0.040700004
6089,"Will Group, Inc.",Industrials,1711584000,1081.0,0.082399994
6257,"Fujishoji Co.,Ltd.",Consumer Cyclical,1711584000,1266.0,0.0482
6268,Nabtesco Corporation,Industrials,1703721600,2697.5,0.0297
6278,Union Tool Co.,Industrials,1703721600,3650.0,0.0235
6284,"Nissei ASB Machine Co., Ltd.",Industrials,1695859200,4570.0,0.048699997
6384,"Showa Shinku Co., Ltd.",Industrials,1711584000,1346.0,0.1041
6454,"Max Co., Ltd.",Industrials,1711584000,2476.0,0.0321
6486,"Eagle Industry Co.,Ltd.",Industrials,1711584000,1647.0,0.0431
6625,JALCO Holdings Inc.,Technology,1711584000,210.0,0.0594
7164,"ZENKOKU HOSHO Co.,Ltd.",Financial Services,1711584000,4813.0,0.0706
7272,"Yamaha Motor Co., Ltd.",Consumer Cyclical,1703721600,3772.0,0.038399998
7278,EXEDY Corporation,Consumer Cyclical,1711584000,2444.0,0.049099997
7433,"Hakuto Co., Ltd.",Technology,1711584000,5030.0,0.0557
7480,Suzuden Corporation,Industrials,1711584000,2124.0,0.0574
7840,"France Bed Holdings Co.,Ltd.",Consumer Cyclical,1711584000,1188.0,0.0354
8001,ITOCHU Corporation,Industrials,1711584000,5382.0,0.0297
8058,Mitsubishi Corporation,Industrials,1711584000,7016.0,0.028499998
8173,"Joshin Denki Co., Ltd.",Consumer Cyclical,1711584000,2352.0,0.0638
8306,"Mitsubishi UFJ Financial Group, Inc.",Financial Services,1711584000,1238.5,0.033099998
8309,"Sumitomo Mitsui Trust Holdings, Inc.",Financial Services,1711584000,5598.0,0.039300002
8316,"Sumitomo Mitsui Financial Group, Inc.",Financial Services,1711584000,7205.0,0.0347
8341,"The 77 Bank, Ltd.",Financial Services,1711584000,3260.0,0.0322
8354,"Fukuoka Financial Group, Inc.",Financial Services,1711584000,3813.0,0.030199999
8411,"Mizuho Financial Group, Inc.",Financial Services,1711584000,2531.5,0.0375
8418,"Yamaguchi Financial Group, Inc.",Financial Services,1711584000,1315.0,0.0335
8425,"Mizuho Leasing Company, Limited",Financial Services,1711584000,4630.0,0.0359
8473,"SBI Holdings, Inc.",Financial Services,1680134400,3116.0,0.0481
8566,"Ricoh Leasing Company, Ltd.",Financial Services,1711584000,4350.0,0.0345
8584,"JACCS Co., Ltd.",Financial Services,1711584000,5090.0,0.039300002
8593,Mitsubishi HC Capital Inc.,Financial Services,1711584000,966.9,0.039300002
8630,"Sompo Holdings, Inc.",Financial Services,1711584000,6375.0,0.0471
8725,"MS&AD Insurance Group Holdings, Inc.",Financial Services,1711584000,5443.0,0.044099998
8917,"First Juken Co., Ltd.",Consumer Cyclical,1698624000,1161.0,0.037
8934,"Sun Frontier Fudousan Co., Ltd.",Real Estate,1711584000,1425.0,0.0365
8999,Grandy House Corporation,Real Estate,1711584000,623.0,0.1027
9432,Nippon Telegraph and Telephone Corporation,Communication Services,1711584000,174.8,0.0286
9433,KDDI Corporation,Communication Services,1711584000,4497.0,0.0311
9434,SoftBank Corp.,Communication Services,1711584000,1686.0,0.051
9513,"Electric Power Development Co., Ltd.",Utilities,1711584000,2286.5,0.0394
9733,Nagase Brothers Inc.,Consumer Defensive,1711584000,1863.0,0.1074
9795,"Step Co.,Ltd.",Consumer Defensive,1695859200,1720.0,0.0535
9852,"CB GROUP MANAGEMENT Co., Ltd.",Consumer Defensive,1711584000,4220.0,0.047399998
9869,"Kato Sangyo Co., Ltd.",Consumer Defensive,1695859200,4010.0,0.0234
9880,Innotech Corporation,Technology,1711584000,1573.0,0.044499997
9882,Yellow Hat Ltd.,Consumer Cyclical,1711584000,1789.0,0.0369
9997,"Belluna Co., Ltd.",Consumer Cyclical,1711584000,626.0,0.0327
